Fecha,Nombre festivo,Grupo,Descripción
01/01/2011,Año Nuevo,Nacional,Celebración del primer día del año según el calendario gregoriano.
04/07/2011,Día de la Independencia,Nacional,Conmemoración de la independencia de EE.UU. en 1776.
11/11/2011,Día de los Veteranos,Nacional,Honra a los veteranos de las Fuerzas Armadas de EE.UU.
25/12/2011,Navidad,Nacional,Fiesta cristiana que celebra el nacimiento de Jesús.
17/03/2011,Día de San Patricio,Nacional,"Fiesta en honor a San Patricio, patrón de Irlanda."
19/06/2011,Juneteenth,Nacional,Conmemoración del fin de la esclavitud en EE.UU. en 1865.
17/01/2011,Día de Martin Luther King Jr.,Nacional,Honra al líder de los derechos civiles Martin Luther King Jr.
21/02/2011,Día de los Presidentes,Nacional,Reconocimiento a todos los presidentes de EE.UU.
18/04/2011,Día de los Caídos,Nacional,Honra a los militares estadounidenses fallecidos en servicio.
05/09/2011,Día del Trabajo,Nacional,Reconocimiento a los trabajadores y sus contribuciones.
10/10/2011,Día de Colón,Nacional,Conmemoración de la llegada de Cristóbal Colón a América.
24/11/2011,Día de Acción de Gracias,Nacional,Día de agradecimiento por la cosecha y bendiciones del año.
29/09/2011,Rosh Hashaná,Judaísmo,"Año Nuevo judío, marcado por oración y reflexión."
08/10/2011,Yom Kipur,Judaísmo,"Día del Perdón en el judaísmo, dedicado al ayuno y la oración."
01/08/2011,Ramadán,Islam,Mes sagrado de ayuno y oración para los musulmanes.
30/08/2011,Eid al-Fitr,Islam,Fiesta que marca el fin del Ramadán en el islam.
26/10/2011,Diwali,Hinduismo,"Festival hindú de las luces, que simboliza la victoria del bien sobre el mal."
17/05/2011,Vesak,Budismo,"Celebración budista del nacimiento, iluminación y muerte de Buda."
01/01/2012,Año Nuevo,Nacional,Celebración del primer día del año según el calendario gregoriano.
04/07/2012,Día de la Independencia,Nacional,Conmemoración de la independencia de EE.UU. en 1776.
11/11/2012,Día de los Veteranos,Nacional,Honra a los veteranos de las Fuerzas Armadas de EE.UU.
25/12/2012,Navidad,Nacional,Fiesta cristiana que celebra el nacimiento de Jesús.
17/03/2012,Día de San Patricio,Nacional,"Fiesta en honor a San Patricio, patrón de Irlanda."
19/06/2012,Juneteenth,Nacional,Conmemoración del fin de la esclavitud en EE.UU. en 1865.
16/01/2012,Día de Martin Luther King Jr.,Nacional,Honra al líder de los derechos civiles Martin Luther King Jr.
